t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.41500,0,244.106,121.740,28.575,870.9,Sliding
0.41500,1,278.388,345.705,28.575,1752.5,Sliding
0.42000,0,248.306,120.571,28.575,873.0,Sliding
0.42000,1,282.527,353.400,28.575,1742.7,Sliding
0.42500,0,252.529,119.445,28.575,875.3,Sliding
0.42500,1,286.644,361.052,28.575,1732.9,Sliding
0.43000,0,256.776,118.362,28.575,877.7,Sliding
0.43000,1,290.737,368.661,28.575,1723.1,Sliding
0.43500,0,261.045,117.322,28.575,880.1,Sliding
0.43500,1,294.807,376.226,28.575,1713.3,Sliding
0.44000,0,265.338,116.326,28.575,882.7,Sliding
0.44000,1,298.853,383.749,28.575,1703.4,Sliding
0.44500,0,269.654,115.373,28.575,885.4,Sliding
0.44500,1,302.877,391.228,28.575,1693.6,Sliding
0.45000,0,273.994,114.463,28.575,888.1,Sliding
0.45000,1,306.877,398.664,28.575,1683.8,Sliding
0.45500,0,278.356,113.596,28.575,891.0,Sliding
0.45500,1,310.854,406.057,28.575,1674.0,Sliding
0.46000,0,282.742,112.772,28.575,894.0,Sliding
0.46000,1,314.808,413.406,28.575,1664.2,Sliding
0.46500,0,287.151,111.992,28.575,897.0,Sliding
0.46500,1,318.738,420.713,28.575,1654.4,Sliding
0.47000,0,291.583,111.254,28.575,900.2,Sliding
0.47000,1,322.645,427.976,28.575,1644.6,Sliding
0.47500,0,296.039,110.560,28.575,903.5,Sliding
0.47500,1,326.529,435.196,28.575,1634.8,Sliding
0.48000,0,300.517,109.909,28.575,906.8,Sliding
0.48000,1,330.390,442.373,28.575,1625.0,Sliding
0.48500,0,305.019,109.302,28.575,910.3,Sliding
0.48500,1,334.227,449.507,28.575,1615.2,Sliding
0.49000,0,309.544,108.737,28.575,913.8,Sliding
0.49000,1,338.041,456.598,28.575,1605.4,Sliding
0.49500,0,314.092,108.216,28.575,917.4,Sliding
0.49500,1,341.832,463.645,28.575,1595.6,Sliding
0.50000,0,318.664,107.738,28.575,921.2,Sliding
0.50000,1,345.600,470.649,28.575,1585.8,Sliding
0.50500,0,323.258,107.303,28.575,925.0,Sliding
0.50500,1,349.345,477.611,28.575,1576.0,Sliding
0.51000,0,327.876,106.911,28.575,928.9,Sliding
0.51000,1,353.066,484.529,28.575,1566.2,Sliding
0.51500,0,332.517,106.562,28.575,932.8,Sliding
0.51500,1,356.764,491.403,28.575,1556.3,Sliding
0.52000,0,337.182,106.257,28.575,936.9,Sliding
0.52000,1,360.438,498.235,28.575,1546.5,Sliding
0.52500,0,341.869,105.995,28.575,941.1,Sliding
0.52500,1,364.090,505.023,28.575,1536.7,Sliding
0.53000,0,346.580,105.776,28.575,945.3,Sliding
0.53000,1,367.718,511.769,28.575,1526.9,Sliding
0.53500,0,351.314,105.600,28.575,949.6,Sliding
0.53500,1,371.323,518.471,28.575,1517.1,Sliding
0.54000,0,356.071,105.467,28.575,954.0,Sliding
0.54000,1,374.905,525.130,28.575,1507.3,Sliding
0.54500,0,360.852,105.378,28.575,958.5,Sliding
0.54500,1,378.463,531.745,28.575,1497.5,Sliding
0.55000,0,365.655,105.332,28.575,963.1,Sliding
0.55000,1,381.998,538.318,28.575,1487.7,Sliding
0.55500,0,370.482,105.329,28.575,967.7,Sliding
0.55500,1,385.510,544.847,28.575,1477.9,Sliding
0.56000,0,375.332,105.369,28.575,972.4,Sliding
0.56000,1,388.999,551.334,28.575,1468.1,Sliding
0.56500,0,380.205,105.452,28.575,977.2,Sliding
0.56500,1,392.465,557.777,28.575,1458.3,Sliding
0.57000,0,385.102,105.579,28.575,982.1,Sliding
0.57000,1,395.907,564.177,28.575,1448.5,Sliding
0.57500,0,390.022,105.748,28.575,987.0,Sliding
0.57500,1,399.326,570.533,28.575,1438.7,Sliding
0.58000,0,394.964,105.961,28.575,992.0,Sliding
0.58000,1,402.721,576.847,28.575,1428.9,Sliding
0.58500,0,399.931,106.217,28.575,997.1,Sliding
0.58500,1,406.094,583.117,28.575,1419.1,Sliding
0.59000,0,404.920,106.517,28.575,1002.2,Sliding
0.59000,1,409.443,589.345,28.575,1409.2,Sliding
0.59500,0,409.932,106.859,28.575,1007.5,Sliding
0.59500,1,412.769,595.529,28.575,1399.4,Sliding
0.60000,0,414.968,107.245,28.575,1012.8,Sliding
0.60000,1,416.072,601.669,28.575,1389.6,Sliding
0.60500,0,420.027,107.674,28.575,1018.1,Sliding
