t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.43500,0,484.434,0.000,28.575,2146.8,Sliding
0.43500,1,635.000,0.000,28.575,0.0,Stationary
0.44000,0,495.143,0.000,28.575,2137.0,Sliding
0.44000,1,635.000,0.000,28.575,0.0,Stationary
0.44500,0,505.804,0.000,28.575,2127.2,Sliding
0.44500,1,635.000,0.000,28.575,0.0,Stationary
0.45000,0,516.415,0.000,28.575,2117.4,Sliding
0.45000,1,635.000,0.000,28.575,0.0,Stationary
0.45500,0,526.978,0.000,28.575,2107.6,Sliding
0.45500,1,635.000,0.000,28.575,0.0,Stationary
0.46000,0,537.491,0.000,28.575,2097.8,Sliding
0.46000,1,635.000,0.000,28.575,0.0,Stationary
0.46500,0,547.956,0.000,28.575,2088.0,Sliding
0.46500,1,635.000,0.000,28.575,0.0,Stationary
0.47000,0,558.371,0.000,28.575,2078.2,Sliding
0.47000,1,635.000,0.000,28.575,0.0,Stationary
0.47500,0,568.737,0.000,28.575,2068.4,Sliding
0.47500,1,635.000,0.000,28.575,0.0,Stationary
0.48000,0,576.080,0.000,28.647,66.2,Airborne
0.48000,1,637.977,0.000,28.703,2011.5,Airborne
0.48500,0,576.338,0.000,28.732,52.1,Airborne
0.48500,1,648.027,0.000,28.974,2010.2,Airborne
0.49000,0,576.595,0.000,28.577,61.2,Airborne
0.49000,1,658.076,0.000,29.001,2010.0,Airborne
0.49500,0,576.853,0.000,28.620,53.9,Airborne
0.49500,1,668.126,0.000,28.782,2011.1,Airborne
0.50000,0,577.111,0.000,28.589,52.7,Airborne
0.50000,1,678.176,0.000,28.682,2010.2,Airborne
0.50500,0,577.368,0.000,28.576,51.6,Airborne
0.50500,1,688.225,0.000,28.720,2010.0,Airborne
0.51000,0,577.618,0.000,28.575,45.8,Sliding
0.51000,1,698.275,0.000,28.604,2010.1,Airborne
0.51500,0,577.822,0.000,28.575,36.0,Sliding
0.51500,1,708.325,0.000,28.600,2010.1,Airborne
0.52000,0,577.978,0.000,28.575,26.2,Sliding
0.52000,1,718.374,0.000,28.575,2010.0,Airborne
0.52500,0,578.084,0.000,28.575,16.4,Sliding
0.52500,1,728.424,0.000,28.575,2009.9,Airborne
0.53000,0,578.142,0.000,28.575,6.6,Sliding
0.53000,1,738.459,0.000,28.575,2002.3,Sliding
0.53500,0,578.150,0.000,28.575,3.2,Sliding
0.53500,1,748.446,0.000,28.575,1992.5,Sliding
0.54000,0,578.110,0.000,28.575,13.0,Sliding
0.54000,1,758.384,0.000,28.575,1982.7,Sliding
0.54500,0,578.020,0.000,28.575,22.8,Sliding
0.54500,1,768.273,0.000,28.575,1972.9,Sliding
0.55000,0,577.881,0.000,28.575,32.6,Sliding
0.55000,1,778.113,0.000,28.575,1963.1,Sliding
0.55500,0,577.694,0.000,28.575,42.4,Sliding
0.55500,1,787.904,0.000,28.575,1953.3,Sliding
0.56000,0,577.457,0.000,28.575,52.2,Sliding
0.56000,1,797.646,0.000,28.575,1943.5,Sliding
0.56500,0,577.171,0.000,28.575,62.1,Sliding
0.56500,1,807.339,0.000,28.575,1933.7,Sliding
0.57000,0,576.837,0.000,28.575,71.9,Sliding
0.57000,1,816.983,0.000,28.575,1923.9,Sliding
0.57500,0,576.453,0.000,28.575,81.7,Sliding
0.57500,1,826.578,0.000,28.575,1914.1,Sliding
0.58000,0,576.038,0.000,28.575,82.8,Rolling
0.58000,1,836.124,0.000,28.575,1904.3,Sliding
0.58500,0,575.625,0.000,28.575,82.3,Rolling
0.58500,1,845.621,0.000,28.575,1894.5,Sliding
0.59000,0,575.214,0.000,28.575,81.9,Rolling
0.59000,1,855.069,0.000,28.575,1884.7,Sliding
0.59500,0,574.806,0.000,28.575,81.4,Rolling
0.59500,1,864.468,0.000,28.575,1874.9,Sliding
0.60000,0,574.401,0.000,28.575,80.9,Rolling
0.60000,1,873.817,0.000,28.575,1865.0,Sliding
0.60500,0,573.998,0.000,28.575,80.4,Rolling
0.60500,1,883.118,0.000,28.575,1855.2,Sliding
0.61000,0,573.597,0.000,28.575,79.9,Rolling
0.61000,1,892.370,0.000,28.575,1845.4,Sliding
0.61500,0,573.199,0.000,28.575,79.4,Rolling
0.61500,1,901.572,0.000,28.575,1835.6,Sliding
0.62000,0,572.803,0.000,28.575,78.9,Rolling
0.62000,1,910.726,0.000,28.575,1825.8,Sliding
0.62500,0,572.410,0.000,28.575,78.4,Rolling
0.62500,1,919.831,0.000,28.575,1816.0,Sliding
0.63000,0,572.019,0.000,28.575,77.9,Rolling
0.63000,1,928.886,0.000,28.575,1806.2,Sliding
0.63500,0,571.630,0.000,28.575,77.4,Rolling
0.63500,1,937.893,0.000,28.575,1796.4,Sliding
0.64000,0,571.244,0.000,28.575,77.0,Rolling
0.64000,1,946.850,0.000,28.575,1786.6,Sliding
0.64500,0,570.861,0.000,28.575,76.5,Rolling
0.64500,1,955.759,0.000,28.575,1776.8,Sliding
0.65000,0,570.480,0.000,28.575,76.0,Rolling
0.65000,1,964.618,0.000,28.575,1767.0,Sliding
0.65500,0,570.101,0.000,28.575,75.5,Rolling
0.65500,1,973.428,0.000,28.575,1757.2,Sliding
0.66000,0,569.725,0.000,28.575,75.0,Rolling
0.66000,1,982.190,0.000,28.575,1747.4,Sliding
0.66500,0,569.351,0.000,28.575,74.5,Rolling
0.66500,1,990.902,0.000,28.575,1737.6,Sliding
0.67000,0,568.980,0.000,28.575,74.0,Rolling
0.67000,1,999.565,0.000,28.575,1727.8,Sliding
0.67500,0,568.611,0.000,28.575,73.5,Rolling
0.67500,1,1008.180,0.000,28.575,1717.9,Sliding
0.68000,0,568.244,0.000,28.575,73.0,Rolling
0.68000,1,1016.745,0.000,28.575,1708.1,Sliding
0.68500,0,567.881,0.000,28.575,72.5,Rolling
0.68500,1,1025.261,0.000,28.575,1698.3,Sliding
0.69000,0,567.519,0.000,28.575,72.1,Rolling
0.69000,1,1033.728,0.000,28.575,1688.5,Sliding
0.69500,0,567.160,0.000,28.575,71.6,Rolling
0.69500,1,1042.146,0.000,28.575,1678.7,Sliding
0.70000,0,566.803,0.000,28.575,71.1,Rolling
0.70000,1,1050.515,0.000,28.575,1668.9,Sliding
0.70500,0,566.449,0.000,28.575,70.6,Rolling
0.70500,1,1058.835,0.000,28.575,1659.1,Sliding
0.71000,0,566.098,0.000,28.575,70.1,Rolling
0.71000,1,1067.106,0.000,28.575,1649.3,Sliding
0.71500,0,565.748,0.000,28.575,69.6,Rolling
0.71500,1,1075.328,0.000,28.575,1639.5,Sliding
0.72000,0,565.402,0.000,28.575,69.1,Rolling
0.72000,1,1083.501,0.000,28.575,1629.7,Sliding
0.72500,0,565.057,0.000,28.575,68.6,Rolling
0.72500,1,1091.625,0.000,28.575,1619.9,Sliding
0.73000,0,564.715,0.000,28.575,68.1,Rolling
0.73000,1,1099.700,0.000,28.575,1610.1,Sliding
0.73500,0,564.376,0.000,28.575,67.6,Rolling
0.73500,1,1107.726,0.000,28.575,1600.3,Sliding
0.74000,0,564.039,0.000,28.575,67.1,Rolling
0.74000,1,1115.703,0.000,28.575,1590.5,Sliding
0.74500,0,563.705,0.000,28.575,66.7,Rolling
0.74500,1,1123.631,0.000,28.575,1580.7,Sliding
0.75000,0,563.373,0.000,28.575,66.2,Rolling
0.75000,1,1131.509,0.000,28.575,1570.8,Sliding
0.75500,0,563.043,0.000,28.575,65.7,Rolling
0.75500,1,1139.339,0.000,28.575,1561.0,Sliding
0.76000,0,562.716,0.000,28.575,65.2,Rolling
0.76000,1,1147.120,0.000,28.575,1551.2,Sliding
0.76500,0,562.391,0.000,28.575,64.7,Rolling
0.76500,1,1154.851,0.000,28.575,1541.4,Sliding
0.77000,0,562.069,0.000,28.575,64.2,Rolling
0.77000,1,1162.534,0.000,28.575,1531.6,Sliding
0.77500,0,561.749,0.000,28.575,63.7,Rolling
0.77500,1,1170.168,0.000,28.575,1521.8,Sliding
0.78000,0,561.432,0.000,28.575,63.2,Rolling
0.78000,1,1177.752,0.000,28.575,1512.0,Sliding
0.78500,0,561.117,0.000,28.575,62.7,Rolling
0.78500,1,1185.288,0.000,28.575,1502.4,Rolling
